2021-01-16 11:58:29 configure libdebconfclient0:amd64 0.249 <none>
2021-01-16 11:58:29 status unpacked libdebconfclient0:amd64 0.249
2021-01-16 11:58:29 status half-configured libdebconfclient0:amd64 0.249
2021-01-16 11:58:29 status installed libdebconfclient0:amd64 0.249
2021-01-16 11:58:29 configure base-files:amd64 10.3+deb10u7 <none>
2021-01-16 11:58:29 status unpacked base-files:amd64 10.3+deb10u7
2021-01-16 11:58:29 status half-configured base-files:amd64 10.3+deb10u7
2021-01-16 11:58:29 status installed base-files:amd64 10.3+deb10u7
2021-01-16 11:58:29 configure libbz2-1.0:amd64 1.0.6-9.2~deb10u1 <none>
2021-01-16 11:58:29 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-01-16 11:58:29 status half-configured libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-01-16 11:58:29 status installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-01-16 11:58:29 configure base-passwd:amd64 3.5.46 <none>
2021-01-16 11:58:29 status unpacked base-passwd:amd64 3.5.46
2021-01-16 11:58:29 status half-configured base-passwd:amd64 3.5.46
2021-01-16 11:58:29 status installed base-passwd:amd64 3.5.46
